utc_time,x_error,y_error,z_error,clock_error,t_min,sin_daily,cos_daily,sin_halfd,cos_halfd,upload_segment,time_since_upload_min
2025-09-03 00:01:00,1.28482075,1.633254424,3.061740684,-1.10153897,0.0,0.0,1.0,0.0,1.0,0,0.0
2025-09-03 02:01:00,1.600453828,1.689039234,1.602150845,-1.346745188,120.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1,0.0
2025-09-03 04:01:00,0.685081728,1.425023131,-0.109538527,2.494324935,240.0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,2,0.0
2025-09-03 06:01:00,2.282976411,2.453653768,-1.804687164,3.226115057,360.0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,3,0.0
2025-09-03 07:50:00,1.802047715,1.723018248,0.127941333,-4.704758673,469.0,0.8890171414857365,-0.45787391511695646,-0.8141155183563188,-0.5807029557109403,4,0.0
2025-09-03 08:11:00,-0.169225954,-1.436892197,-0.472263408,-0.877388407,490.0,0.8433914458128858,-0.5372996083468236,-0.9063077870366497,-0.42261826174069994,4,21.0
2025-09-03 08:25:00,-1.10003984,-0.815805573,0.457262781,0.183785608,504.0,0.8090169943749475,-0.587785252292473,-0.9510565162951535,-0.30901699437494756,4,35.0
2025-09-03 08:40:00,0.08827807,-0.103566945,0.427094062,-0.266106398,519.0,0.7688418320734596,-0.6394390019805847,-0.9832549075639545,-0.18223552549214778,4,50.0
2025-09-03 08:55:00,-0.213135459,-0.353847157,-0.467816517,0.027285101,534.0,0.7253743710122877,-0.6883545756937538,-0.9986295347545738,-0.052335956242944306,4,65.0
2025-09-03 09:11:00,0.139093529,0.021653887,-2.238380639,-0.002157456,550.0,0.6755902076156604,-0.737277336810124,-0.9961946980917455,0.08715574274765789,4,81.0
2025-09-03 09:25:00,-2.12765542,-1.471064188,3.538109067,0.013097063,564.0,0.6293203910498377,-0.7771459614569707,-0.9781476007338058,0.20791169081775857,4,95.0
2025-09-03 09:51:00,-1.782917004,-1.794622999,-3.472769056,0.059465753,590.0,0.5372996083468238,-0.8433914458128857,-0.9063077870366498,0.4226182617406996,4,121.0
2025-09-03 09:55:00,0.189113814,0.404830419,0.433967886,-0.031616173,594.0,0.5224985647159489,-0.8526401643540922,-0.8910065241883679,0.45399049973954664,4,125.0
