utc_time,x_error,y_error,z_error,clock_error
2025-09-01 14:00:00,-0.765883333,0.671543743,0.434251402,-0.183988567
2025-09-01 15:00:00,-0.568186091,0.392190874,0.63784356,-0.159422194
2025-09-01 16:00:00,-0.535862128,0.17431926,0.723322887,0.035761103
2025-09-01 17:00:00,-0.641199774,-0.205228955,0.718194996,-0.077574236
2025-09-01 18:00:00,-0.638888152,-0.396329347,0.475825153,0.161143483
2025-09-01 19:00:00,-0.77436263,-0.474094689,0.207774427,0.13862766
2025-09-01 20:00:00,-0.837601373,-0.584908968,-0.216711007,-0.060440918
2025-09-02 17:00:00,-0.335357651,0.60487498,0.674362661,-0.034781471
2025-09-02 18:00:00,-0.412536055,0.306909334,0.719623885,-0.302436957
2025-09-02 19:00:00,-0.702044664,0.075185154,0.676095143,-0.314214604
2025-09-02 20:00:00,-0.775892772,-0.037073866,0.430691566,0.475854393
2025-09-02 21:00:00,-0.89035907,-0.0501773,0.154487155,0.104091569
2025-09-02 22:00:00,-1.058336398,-0.200725934,-0.358076125,0.008388643
2025-09-02 23:00:00,-0.839232033,-0.254772935,-0.675063701,-0.101061387
2025-09-03 19:00:00,-0.03383898,0.690224383,0.73809742,-0.353027114
2025-09-03 20:00:00,-0.331164595,0.460334195,0.754296971,-0.111867706
2025-09-03 21:00:00,-0.624093685,0.323578008,0.595941585,0.037838455
2025-09-03 22:00:00,-0.701466771,0.318061659,0.393948879,0.234829681
2025-09-03 23:00:00,-0.831473549,0.344608024,0.078566089,0.173892457
2025-09-04 00:00:00,-0.967762081,0.272608705,-0.46438418,0.115396922
2025-09-04 01:00:00,-0.856967132,0.126926705,-0.764487924,-0.097418698
2025-09-04 02:00:00,-0.663020635,-0.150727611,-0.862879188,-0.210255003
2025-09-04 23:00:00,-0.45314458,0.637766904,0.575132627,0.007187674
2025-09-05 00:00:00,-0.517121889,0.632788374,0.33881541,0.313628899
2025-09-05 01:00:00,-0.656200007,0.738374509,-0.022809725,0.112118632
2025-09-05 02:00:00,-0.522071518,0.627076853,-0.604027957,0.102014217
2025-09-05 03:00:00,-0.692386397,0.468869142,-0.794989448,-0.042943231
2025-09-05 04:00:00,-0.579470006,0.072540816,-0.867343003,-0.245654497
2025-09-05 05:00:00,-0.637818535,-0.19533556,-0.761436984,-0.034174481
2025-09-06 02:00:00,0.015509419,0.791806834,0.168363828,0.03017576
2025-09-06 03:00:00,-0.182978673,0.941149336,-0.167576488,0.089507895
2025-09-06 04:00:00,-0.425624019,0.899042258,-0.642716128,0.421244199
2025-09-06 05:00:00,-0.356931278,0.633680437,-0.822042739,0.187504803
2025-09-06 06:00:00,-0.615293259,0.270688187,-0.848775506,-0.055961629
2025-09-06 07:00:00,-0.692854449,0.059949629,-0.733184973,-0.179266626
2025-09-06 14:00:00,0.007015683,-0.812115097,0.457226757,0.787286953
2025-09-07 06:00:00,0.054012448,0.852508137,-0.660408268,0.116233553
2025-09-07 07:00:00,-0.10590212,0.721942117,-0.831064874,-0.709572473
2025-09-07 08:00:00,-0.487995785,0.417763898,-0.787376485,0.073952863
2025-09-07 09:00:00,-0.666461468,0.342724778,-0.65810753,-0.017972708
2025-09-07 11:47:00,-2.270492186,0.943558877,0.038751304,0.078469207
2025-09-07 12:00:00,-0.934727645,0.215925608,0.565364603,1.576007273
2025-09-07 13:00:00,-0.760390978,0.050845519,0.76846572,-0.04271362
2025-09-07 14:00:00,-0.494502604,-0.202973183,0.799759143,-0.730752601
2025-09-07 15:00:00,-0.457619769,-0.498454589,0.726807801,0.232752299
2025-09-07 16:00:00,-0.362948108,-0.790320568,0.422599971,0.265575346
