utc_time,x_error,y_error,z_error,clock_error
2025-09-03 10:11:00,-0.026799934,0.073631655,0.078432899,0.008539498
2025-09-03 10:21:00,-0.085093127,0.038818173,0.082895838,-0.006356499
2025-09-03 10:31:00,-0.098011992,0.039264336,0.114348378,0.01109373
2025-09-03 10:41:00,-0.107813045,0.054687735,0.132517305,-0.006356499
2025-09-03 10:51:00,-0.06251346,0.02046125,0.072510837,-0.006356499
2025-09-03 11:01:00,-0.067049238,0.051798817,0.118077869,-0.006356499
2025-09-03 11:57:00,-0.469946869,0.044073656,0.660201441,-0.014332238
2025-09-03 12:01:00,-0.099226913,-0.029361427,0.093226715,-0.006356499
2025-09-03 12:11:00,-0.047000158,-0.011954684,0.122662981,0.01109373
2025-09-03 12:21:00,-0.094760614,-0.023004327,0.10518468,-0.006356499
2025-09-03 13:20:00,-0.571787328,-0.114417512,0.385933068,0.090369049
2025-09-03 13:21:00,-0.260877719,-0.091754563,0.16027372,0.023435466
2025-09-03 13:31:00,0.034080828,-0.087099403,0.105749086,-0.014019165
2025-09-03 13:41:00,-0.166154541,-0.051300939,0.06385389,0.023435466
2025-09-03 13:51:00,-0.196628107,-0.07414658,0.065460388,-0.011464963
2025-09-03 14:01:00,-0.165072372,-0.045122795,0.02148753,-0.011464963
2025-09-03 14:11:00,-0.173809274,-0.136914536,0.086149931,-0.011464963
2025-09-03 15:26:00,-1.121684754,-0.35136563,-0.251508862,-0.027904022
2025-09-03 15:31:00,-0.159982871,-0.08785478,-0.057381164,-0.046365422
2025-09-03 15:41:00,-0.166797161,-0.088235419,-0.064707786,-0.028915162
2025-09-03 15:51:00,-0.176098157,-0.082430024,-0.122549303,-0.046365392
2025-09-04 17:47:00,-0.539619543,0.409925637,0.439555116,0.03378673
2025-09-04 17:51:00,-0.145059071,0.132950215,0.067882702,-0.008910731
2025-09-04 18:01:00,-0.211467613,0.106881801,0.098722767,-0.026360931
2025-09-04 18:11:00,-0.195682641,0.186074456,0.057213813,-0.008910731
2025-09-04 19:15:00,-0.700526601,0.576058736,-0.000603687,0.03378673
