utc_time,x_error,y_error,z_error,clock_error
2025-09-03 00:01:00,1.28482075,1.633254424,3.061740684,-1.10153897
2025-09-03 02:01:00,1.600453828,1.689039234,1.602150845,-1.346745188
2025-09-03 04:01:00,0.685081728,1.425023131,-0.109538527,2.494324935
2025-09-03 06:01:00,2.282976411,2.453653768,-1.804687164,3.226115057
2025-09-03 07:50:00,1.802047715,1.723018248,0.127941333,-5.684223234
2025-09-03 08:11:00,-0.169225954,-1.436892197,-0.472263408,-0.877388407
2025-09-03 08:25:00,-1.10003984,-0.815805573,0.457262781,0.183785608
2025-09-03 08:40:00,0.08827807,-0.103566945,0.427094062,-0.266106398
2025-09-03 08:55:00,-0.213135459,-0.353847157,-0.467816517,0.027285101
2025-09-03 09:11:00,0.139093529,0.021653887,-2.238380639,-0.002157456
2025-09-03 09:25:00,-2.12765542,-1.471064188,3.538109067,0.013097063
2025-09-03 09:51:00,-1.782917004,-1.794622999,-3.472769056,0.059465753
2025-09-03 09:55:00,0.189113814,0.404830419,0.433967886,-0.031616173
2025-09-03 10:10:00,-2.414123408,-1.709124576,-0.042287993,0.152698809
2025-09-03 10:25:00,-1.139717549,-0.784878902,-0.788910913,0.152698809
2025-09-03 10:40:00,-0.989945177,-0.879231654,0.064290363,-0.049076535
2025-09-03 10:55:00,-0.033485472,0.087050788,0.058601988,0.078534921
2025-09-03 11:10:00,6.714422453,5.886779267,10.81891421,-1.103716873
2025-09-03 11:25:00,-2.092337634,-1.452630259,-0.883779709,0.230126956
2025-09-03 11:40:00,0.597511485,0.454625659,0.574959028,-0.017989736
2025-09-03 11:56:00,0.258106098,0.527340513,0.959097091,0.26941233
2025-09-03 12:10:00,-1.156102259,-1.003954992,-0.574481407,-0.033794614
2025-09-03 12:25:00,0.97350508,0.731687136,-0.465981476,0.105807101
2025-09-03 12:40:00,-1.174213734,-0.842248604,0.419547307,0.105807101
2025-09-03 12:55:00,0.458125912,0.310934536,-0.154250738,0.151609723
2025-09-03 13:10:00,-5.621142864,-5.192379687,-0.562139402,0.5088074
2025-09-03 13:25:00,-0.018692568,-0.143080782,-0.010322493,0.074720332
2025-09-03 13:40:00,0.356143791,0.122856393,0.435671116,-0.173946749
2025-09-03 14:00:00,-1.545576122,-1.451378983,-1.057287716,0.19088907
2025-09-03 16:00:00,-2.977734089,-2.661322154,-1.432459529,3.340671961
2025-09-03 18:00:00,-1.244536225,-1.172715083,-4.453501031,3.437755761
2025-09-03 20:00:00,1.97375378,1.644614056,-1.794176658,0.184397754
2025-09-03 22:00:00,1.833995398,1.929840274,2.350237415,-1.249661387
2025-09-04 00:00:00,2.64533034,2.943842776,3.965113758,-2.400472567
2025-09-04 02:00:00,-0.722049899,-0.053910244,2.828218274,-0.441571956
2025-09-04 04:00:00,-0.856261648,1.092148282,0.171570717,3.154291919
2025-09-04 06:00:00,0.287703101,0.527688224,-2.334320748,2.697229117
2025-09-04 08:00:00,0.008221291,-0.042935118,0.009639807,-5.230549136
2025-09-04 10:00:00,10.02647229,8.540781338,1.275702608,-5.408408447
2025-09-04 12:00:00,-0.832425859,-0.529566556,3.136938728,1.589151733
2025-09-04 14:00:00,-4.049717102,-3.776607096,0.273805877,2.53258253
2025-09-04 16:00:00,-3.317581486,-2.779847827,-2.080443762,3.437755761
2025-09-04 18:00:00,0.543888971,0.494111735,-4.937305795,3.60687852
2025-09-04 20:00:00,3.936180905,3.607647866,-1.9515022,-0.171105016
2025-09-04 22:00:00,1.099103592,1.129962713,2.910649365,-2.828014326
2025-09-05 00:00:00,0.379871171,0.624769423,2.785508084,-1.427520728
2025-09-05 02:00:00,3.726228692,3.891447306,2.653838237,-0.061024344
2025-09-05 04:00:00,0.088359974,-0.056281067,-0.062324861,1.12356823
2025-09-05 06:00:00,-4.694847863,-4.042989593,0.436600814,1.465858277
2025-09-05 08:00:00,-0.190358367,-0.105879877,0.009774428,-4.325375905
2025-09-05 10:00:00,0.060726993,-0.048400804,-0.007805559,-2.650154986
2025-09-05 12:00:00,0.921389066,1.016061652,3.545793064,1.305687891
